"Step","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MIN","init_and_loss_eigen_with_4_to_4_uniform_distribution - forward loss__MAX","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MIN","eigen_initialisation_and_maximal_eigen_loss-2 - forward loss__MAX","experiment_dynamicKAE_e - forward loss","experiment_dynamicKAE_e - forward loss__MIN","experiment_dynamicKAE_e - forward loss__MAX","Maximal eigen-loss without eigen-initialisation - forward loss","Maximal eigen-loss without eigen-initialisation - forward loss__MIN","Maximal eigen-loss without eigen-initialisation - forward loss__MAX"
"67","0.19810307025909424","0.19810307025909424","0.19810307025909424","","","","","","","0.1842641830444336","0.1842641830444336","0.1842641830444336"
"68","0.1861933171749115","0.1861933171749115","0.1861933171749115","","","","","","","0.3033081293106079","0.3033081293106079","0.3033081293106079"
"69","0.20057423412799835","0.20057423412799835","0.20057423412799835","","","","","","","0.18453215062618256","0.18453215062618256","0.18453215062618256"
"70","0.19273319840431213","0.19273319840431213","0.19273319840431213","","","","","","","0.23958918452262878","0.23958918452262878","0.23958918452262878"
"71","0.19495709240436554","0.19495709240436554","0.19495709240436554","","","","","","","0.18519310653209686","0.18519310653209686","0.18519310653209686"
"72","0.1962253749370575","0.1962253749370575","0.1962253749370575","","","","","","","1.9748986959457397","1.9748986959457397","1.9748986959457397"
"73","0.18226303160190582","0.18226303160190582","0.18226303160190582","","","","","","","0.17492973804473877","0.17492973804473877","0.17492973804473877"
"74","0.20010632276535034","0.20010632276535034","0.20010632276535034","","","","","","","0.16839337348937988","0.16839337348937988","0.16839337348937988"
"75","0.20423293113708496","0.20423293113708496","0.20423293113708496","","","","","","","0.17421242594718933","0.17421242594718933","0.17421242594718933"
"76","0.19420693814754486","0.19420693814754486","0.19420693814754486","","","","","","","0.20978936553001404","0.20978936553001404","0.20978936553001404"
"77","0.18873947858810425","0.18873947858810425","0.18873947858810425","","","","","","","0.17573529481887817","0.17573529481887817","0.17573529481887817"
"78","0.1890105903148651","0.1890105903148651","0.1890105903148651","","","","","","","1.47012460231781","1.47012460231781","1.47012460231781"
"79","0.1940278261899948","0.1940278261899948","0.1940278261899948","","","","","","","0.17724187672138214","0.17724187672138214","0.17724187672138214"
"80","0.187267005443573","0.187267005443573","0.187267005443573","","","","","","","0.17749030888080597","0.17749030888080597","0.17749030888080597"
"81","0.1882384568452835","0.1882384568452835","0.1882384568452835","","","","","","","0.47613203525543213","0.47613203525543213","0.47613203525543213"
